"","g","F1.","F2."
"X3",0.0977278479897604,-0.228244194922209,0.0185510565133135
"X4",-0.321425602631929,-0.63286025473117,1.19621388263997
"X7",-0.0544723314276633,1.68190621958223,-1.22583162327465
"X9",-0.268806377902328,-0.826308546490938,1.76035292424696
"X13",1.61461686278917,-0.503218286098483,0.295448280700364
"X14",-1.34566623912523,-0.543361779332402,-0.640784355052056
"X15",-0.253253569605942,1.23733935198897,-0.865465223866182
"X17",-0.902100955099405,-0.863308781389202,-1.34555544751042
"X21",-0.904326177735657,-0.896817416051226,-0.790243063141134
"X25",0.950734276587609,0.942956022405195,-1.5142164298303
"X26",-0.913327381906017,0.245715294457304,0.429573587580376
"X27",1.78749967472314,1.25225695007046,-0.169811701224872
"X29",-0.0410617616955712,-0.0956505510736674,-0.239512304767641
"X32",-0.97293033811212,-0.411189359325291,-0.617001227727041
"X33",-0.344081768618568,1.34175827114105,-0.276092491349002
"X40",1.02041434816842,0.729234771985958,-0.438616184908168
"X42",0.750121467895991,0.325352343883841,-0.0485802551685892
"X44",-0.969001406498057,-0.437493155005248,0.502388008407049
"X48",0.797707468241623,-0.810528176875194,0.797425763228172
"X49",-1.01941982426899,-0.140015340738604,-0.290109653947874
"X51",0.727410763836672,1.25077477716679,-0.260360127212804
"X52",-1.29600377062853,-0.723186782283052,0.6514587755477
"X53",-0.423580243189887,-1.40558499459786,1.26162643177947
"X54",-1.23921916106851,0.414668383731278,0.651123880155075
"X55",0.59602050902166,-0.935153199028089,0.596513045791289
"X57",-0.888572032513886,-1.76398356699398,-1.63166635197557
"X58",-1.12987519642268,-0.319626059898319,-0.698279148511444
"X61",-0.843423570680886,-1.32992655224361,-0.772880655572128
"X62",-0.376422402546679,-0.971726036177305,-1.26840006698483
"X67",-1.18410729327528,-0.304145125426229,1.00498758089862
"X69",-1.50992497143834,-0.837547044011644,0.00525774302290055
"X70",-0.833983743386674,-1.07623500077182,-1.19791872351344
"X71",-0.0485441599961664,0.856618359841217,-0.0890046196854093
"X73",0.265455108149987,-1.30270506654732,0.655317114908683
"X76",-0.0624063217521726,-0.993430610331869,-0.827652566686865
"X77",-0.680490042612043,0.162950960262566,1.40282251890317
"X78",-0.926023125276812,-0.0293529375701706,-0.311518035841471
"X82",-0.762869790889252,1.24307333240382,-1.80998728368534
"X83",-0.138749030437938,0.0206057230465718,0.380849375925688
"X85",-0.00205946145084437,0.559803753181785,-0.565756737061293
"X86",-0.640936383375132,0.638953776577653,-0.000829831737055378
"X87",-0.454661467374534,0.0776184848293977,1.0094701269284
"X90",-1.47301745271249,0.555317341688978,-0.442476768591835
"X91",-0.117551708123327,-0.363008471092014,1.84299522340011
"X92",-0.319431953420834,0.777018834101143,-0.79523530609099
"X93",-0.606058936369812,-0.806922876708013,0.248616646383986
"X94",-0.983774496123768,-0.742418977273244,1.24468983505449
"X95",-0.201785084601288,-0.908861602984998,0.342402687969775
"X97",0.495694095161977,0.828454666290469,1.54270360584801
"X98",2.42319595510939,-0.472542078997017,-1.47708261431183
"X99",-1.25390023859943,0.1748379649893,-0.343977530289789
"X101",-1.71166333944982,-0.726543582166785,-1.40615835435892
"X102",-0.29199988594143,-0.475585629763787,0.24019568584998
"X103",-0.238458148850213,-1.47566928996861,-1.44699180627186
"X106",-1.08149833097957,0.101605845428867,0.313418964356218
"X107",-0.675194219053252,0.336358895417394,0.223864456874638
"X108",-0.302782607901065,-0.626173123352172,0.995259350067595
"X110",0.13571985223687,0.311202200257587,0.157292367202372
