"","g","F1.","F2."
mturk0,-1.08543001881328,-0.407461527675157,-0.335907762757584
mturk1,-1.286910874068,0.6932701810867969,-0.0304148134155113
mturk2,-0.61663963754367,1.17292755070599,0.451455769121149
mturk3,1.35343796541839,1.36905838697626,-0.6031322778260889
mturk4,-0.37299981885332895,1.26637041573122,-1.44786365967064
mturk5,-0.308307483802107,-1.07731389660243,-0.5569703076427199
mturk6,0.35274538402909794,-1.37570210568778,-0.0167211101271266
mturk7,0.617714127427432,-0.0354097204347547,0.419770749531613
mturk8,-0.912165398920478,1.63794524998319,0.0253068285840635
mturk9,-0.891990770389552,-0.342306874161977,0.123873449616369
mturk10,0.8558986863219049,-1.2407366506403998,0.341762134431094
mturk11,1.68904845701842,-0.0644881845476588,0.662980737182705
mturk12,-0.898887771441185,-0.103846255778419,2.5821799445293103
mturk13,-1.3851576618345902,-0.517704951600751,0.228633168837372
mturk14,1.02693999585882,1.03088045426689,-1.36900429470466
mturk15,0.649902697866268,0.00272578369299046,2.89696849735232
mturk16,0.4120710270762629,0.53796523120256,-1.25523219940152
mturk17,-0.32761711911330105,0.15400096641542302,-0.718270459419463
mturk18,-0.679011022806284,0.0124435311805921,-1.16243578187697
mturk19,-1.1805825130832,0.25381730592263,0.93333603227949
mturk20,0.157740370558748,1.78118130715163,1.03801597675723
mturk21,-0.7528108645409829,0.481796173724247,-0.7110940662052371
mturk22,1.02081163492821,0.629922457839287,-2.6814788209226603
mturk23,0.00659804590729768,1.4586384824987,-1.32845087299831
mturk24,1.2757594873143798,0.62647212776248,-2.4293122534541003
mturk25,-0.67483754187426,1.43184244794358,1.47478510390999
mturk26,0.0750478273357879,1.48984119335691,1.90620975631179
mturk27,-0.851985352655635,-0.335295448341699,2.19657721450482
mturk28,1.4984373407327198,-0.26164902902104503,-2.0365144848796
mturk29,-0.4591732743907971,-0.9488734106361292,-0.51851458952521
mturk30,-0.273784908519295,0.247521379091962,0.5709214219414971
mturk31,-0.8006743988483951,0.425187483222142,0.417854165455142
mturk32,0.0287227481364354,-0.7243518738787049,0.5346153243518
mturk33,-1.20486908457344,0.8833657970640741,-0.412192273230123
mturk34,-0.44699469981563,0.7421565668291071,-1.3464968195794198
mturk35,-0.27523862624670503,1.35328377898662,-0.332477526872844
mturk36,0.176907271891961,1.12410495138095,-0.05749804586021499
mturk37,0.254565946059014,0.11411739539868597,-1.0723681341029698
mturk38,-0.196681752489669,-2.01342671613521,-0.97815834438041
mturk39,0.589135252115548,-1.12659800248354,1.28230711156573
mturk40,0.15639717180706,1.01258905330572,0.0922376732238754
mturk41,1.4370333991777,0.0957212873749153,-0.359738103388766
mturk42,0.547073753314165,-0.55368241904661,0.5339514415943251
mturk43,-0.12951097497084302,1.31532798100632,-0.5670801334511949
mturk44,2.87193232148293,-1.67881022092489,0.152127664348685
mturk45,-0.0380691907586944,-0.16808017917789098,-0.7536981150134909
mturk46,0.704618219842921,-0.9411487604880808,1.5058700716521105
mturk47,0.228618098693297,0.447864614798651,0.076507400664841
mturk48,1.16857244621848,0.297946339673312,-2.39166494269898
mturk49,-0.8049322948670571,-0.499694987593301,-0.534101859741058
mturk50,3.1794306706146003,-0.7094307433248979,-0.24953222138999895
mturk51,1.29939047116494,1.8468406315839296,-0.5483977789698831
mturk52,0.649164807525607,1.19933585171189,-0.252221705385143
mturk53,-1.11963860730774,1.29937287516324,-0.659540800938916
mturk54,2.8946335645469303,0.4074233718491429,-1.09920410363277
mturk55,0.104778745930497,0.7424440060458721,-0.759132665494815
mturk56,-0.7266888831065791,0.13245689111820694,0.0020899565496400197
mturk57,-0.34672475319659696,1.07765993153867,-0.0597240006852247
mturk58,-1.24290741572457,-0.966328263753096,-0.557851997974044
mturk59,-1.01570940269572,1.07826387863717,0.720250018780516
mturk60,-0.0320257836062443,0.851964977470632,0.33240479409906104
mturk61,1.46315928026111,0.529331956264454,-0.195755243719652
mturk62,-1.16793204935571,-0.16943165168529,-0.872701423025402
mturk63,-0.256436400791302,0.775768508327327,0.131872709708811
mturk64,-0.884943439414891,-0.470880960686141,0.825324403751612
mturk65,-0.866319843572372,0.43559477387715706,-0.0502143912223815
mturk66,-1.50547959768695,-0.13816838342958598,-0.272003259628663
mturk67,-0.892977086816227,0.0244072325438224,-0.355494044808016
mturk68,0.381862622096601,2.3094402690090297,-0.139461769410518
mturk69,-1.21708383601479,-1.07062377679729,0.0508078769500641
mturk70,1.94436042275684,0.9422623741552372,0.556719180278668
mturk71,1.24012994440145,-0.3543914516463549,1.80820632629513
mturk72,-0.781233321232039,-0.695112535913025,-0.134289427193519
mturk73,-1.17685775104653,0.5588403883883211,0.0976356747513087
mturk74,-1.14362240589746,2.4243334622121098,1.17366766438017
mturk75,0.333279670646661,1.17310498642546,-1.08221009063364
mturk76,2.6665941158947004,-0.0922047276862268,0.210351332074952
mturk77,0.391708663643308,0.353010478552313,-1.69350140991223
mturk78,-0.7690028300660551,3.35154396852598,-1.01308898712392
mturk79,-0.769790203834223,-0.149994625824288,-0.13955268837045598
mturk80,0.482233389201011,2.19311979563807,0.498612217265791
mturk81,-0.788804629908193,1.88566109342514,0.896438484331103
mturk82,-0.209875217469604,-0.16383090381166102,-0.32178288779485303
mturk83,0.246128876563008,-0.746237515563141,-1.26209444526895
mturk84,-0.8266890883367309,-1.8040603731457097,-0.693783987288181
mturk85,-1.4861474448965002,-0.22237663794578305,-0.287805328522627
mturk86,-0.00704185692064002,0.277870702201762,0.37966181274037103
mturk87,-1.02166195317316,0.363869860260659,0.204770300421933
mturk88,0.9382477276484448,1.163755295118,0.135402726297122
mturk89,-0.4516493461093,1.42031388499739,-1.20514831157208
mturk90,-0.354008731159511,-0.653582292074458,-0.18022332735004604
mturk91,-1.04122015100759,0.7221940210234371,-0.4532901512343669
mturk92,-0.228007115685363,1.103226047438,1.37933409126577
mturk93,-0.8859203697576601,-0.0952797712048444,-0.202066635113142
mturk94,1.44220987090735,0.8163788273050291,-0.0153589023088116
mturk95,-0.9655815543625992,0.181437677287901,-0.631820504016915
mturk96,1.11381571472031,-0.36816983052500896,2.62142978231073
mturk97,1.22883941008658,0.2874244470796861,1.2073204464631295
mturk98,1.54991046245436,1.00439319526134,0.179775000381958
mturk99,0.0157656526877676,1.90631518125397,1.08105674153478
mturk100,0.907752680792092,0.747586455880423,-0.721422466603882
mturk101,-1.09047298436377,0.869064876097088,0.0104545093720054
mturk102,-1.26388481138286,0.23251528159048104,-0.7906563208900309
mturk103,-0.0396531680241133,-0.905758879457744,-0.5893527740904689
mturk104,-1.20499420605466,-0.341831345292718,-0.3426649954577169
mturk105,0.903729039611764,1.53154943282895,-0.0777110752645621
mturk106,-0.7460749590704909,1.59509063829296,-0.6884629234576911
mturk107,-0.601393926537193,1.94188572777251,-0.628853801041374
mturk108,-0.4691963947039551,0.0995014656872839,-0.551606178732714
mturk109,-1.28031150470024,-1.11655752668444,-0.4565998249972121
mturk110,-1.03090024912973,-0.513247400235843,-0.124187970868584
mturk111,1.6023630898110102,1.23256402516237,-0.422709450169424
mturk112,-0.641259805999585,-0.219382622632934,0.3649459364194079
mturk113,-0.0492485576332559,0.9309487459574672,0.47249219249168
mturk114,-0.371967690463021,-0.0207239046578107,-0.932173581004683
mturk115,-0.74750808243325,1.07235341472817,-1.31446003522342
mturk116,-0.831400216536721,-0.4859425488611821,-0.6819369315639711
mturk117,0.239630917508455,2.03991061499307,1.50839646402
mturk118,-0.115823418861697,1.92885036376962,-0.0898055254129703
mturk119,-1.19815890589641,-0.383925310493614,-0.34547151254347
mturk120,-0.18355075507247895,1.55078869488093,-0.460301922360524
mturk121,1.50289817231695,0.173969285281228,-0.0158616763721664
mturk122,-0.42294296698552,0.393110173909654,2.7104474410515897
mturk123,0.18328375693970494,-0.43399431421246,0.241781058685154
mturk124,-0.771757141560463,-0.19995570225139006,0.0229190021146412
mturk125,-0.446369002010701,-0.716492399205623,0.0903865194679458
mturk126,2.28379107245771,0.921718764387115,2.10675175628733
mturk127,0.8818592993944091,0.215638550797576,2.27935042025042
mturk128,0.646855317475448,1.1794991143272802,1.04893335478881
mturk129,-0.397762991472266,-0.571980605716528,-1.11252441396988
mturk130,-1.3090299163696002,-0.351494812183216,0.541070529533462
mturk131,-1.16639468670177,-1.28381018402001,-0.6239587423030589
mturk132,-1.37998497188025,0.468607538319518,-0.6349031142710129
mturk133,-0.390765142795594,1.35944782752038,1.29497928628041
mturk134,-1.1954081106261,-0.248562921343956,0.250641083205283
mturk135,-0.578111423368794,0.776103490886338,-1.40713855208418
mturk136,-0.504220332236596,2.70696028434146,0.0535046025045038
mturk137,0.132556687121498,-1.45860416232886,-1.51361233967544
mturk138,-1.192144893839,0.16129281730814302,-0.617724210413856
mturk139,-0.84416388573786,0.0530651199190298,-0.588221111728235
mturk140,1.30179927093424,2.00272442829647,-1.8368521701258305
mturk141,-0.837348428734947,0.510822515883747,0.11896728201633802
mturk142,-0.17835793217305398,2.17451826014592,-1.72905923626876
mturk143,1.52929588944879,1.18342396225621,-2.07263140491997
mturk144,-1.5891538612448202,2.2911425387167,1.07078152037761
mturk145,0.643029566834788,1.33873057966882,-0.5021258567977539
mturk146,-0.223963070962413,1.3159230131821298,-1.30551154864576
