"","mevpea","sevpea","qevpea","sqevpea"
"V85",0.113527571859376,0.0139961370850596,0.0892316672409155,0.00295764620899591
"V86",0.106032062508766,0.0145095572245219,0.0818876310994801,0.0030661415116551
"V87",0.0988890856353373,0.0145479734201583,0.0745507896966743,0.00307425957413888
"V88",0.0929626954242262,0.0148358693996142,0.066916974396137,0.00313509739296331
"V89",0.0863909406496172,0.0149047132617891,0.0589387434339312,0.00314964539193881
"V90",0.079904653599268,0.0149150834329811,0.055094517583081,0.00315183680356376
"V91",0.0738076761956297,0.0146555055461357,0.0489139333262511,0.00309698312870322
"V92",0.0680696727188741,0.014954922698507,0.0408324653372113,0.00316025558739931
"V93",0.0620924471749841,0.0149546726194329,0.036342358969587,0.0031602027410017
"V94",0.0561700030491386,0.0144694517125059,0.0280324373127124,0.00305766646494378
"V95",0.0504436021679032,0.01441111587496,0.0249538204076346,0.00304533900860939
"V96",0.0450760430799132,0.0150496609619649,0.0189279397309355,0.00318027555891433
"V97",0.0399895193592374,0.0158284659673709,0.0115854674745213,0.00334485166000475
"V98",0.034576160140952,0.01577861053084,0.00744238877106397,0.00333431627142165
"V99",0.0293570902023597,0.0157235741023416,0.0014469405196955,0.00332268604208653
"V100",0.0239767548218211,0.0156278853101017,-0.00253040601443666,0.00330246520601641
"V101",0.0187142769944671,0.0158721526217591,-0.00696651569395139,0.00335408346924966
"V102",0.0133430333593723,0.0154925120073102,-0.0123246808894165,0.00327385828873865
"V103",0.00773587754492307,0.0155455708418686,-0.0173787373687379,0.00328507061539219
"V104",0.00272219077686522,0.0158306909912601,-0.0266922813526104,0.00334532184927416
"V105",-0.00301768996365129,0.0161363539197094,-0.032312259054699,0.0034099141575707
"V106",-0.00871983250570298,0.0164658465728393,-0.0392944134739544,0.00347954213352571
"V107",-0.0143461377585234,0.0168767303946688,-0.0428170166853957,0.00356636958960065
"V108",-0.0199571621909393,0.0167050614446977,-0.0500273436808939,0.00353009272149063
"V109",-0.0255027904147724,0.0168994292369882,-0.051423217459787,0.00357116628061092
"V110",-0.0318438815478183,0.0173596231184245,-0.0632473351385264,0.00366841387689849
"V111",-0.0374103463553962,0.0175915954454382,-0.0649348584185238,0.00371743397933207
"V112",-0.0433594931937432,0.0185159346132527,-0.0738180114089795,0.00391276417786458
"V113",-0.0494563844388079,0.018688310470246,-0.0807276290154883,0.00394919042868366
"V114",-0.0561289321947387,0.0180423550426866,-0.0870177718086893,0.00381268793446755
"V115",-0.0616768998332492,0.0185295382663875,-0.0926718073899529,0.00391563888485538
"V116",-0.0689142215843752,0.0189016107052652,-0.105666439669323,0.0039942647679566
"V117",-0.0764958330797076,0.0196296771320316,-0.112959197092288,0.00414811885597646
"V118",-0.0832941941827604,0.0205029329880167,-0.119384798526349,0.00433265419285129
"V119",-0.0906718403612559,0.0210508245230941,-0.133104644295769,0.00444843394778043
"V120",-0.0985172702334423,0.0212895037853749,-0.139018460882799,0.00449887135139833
"V121",-0.107692363165468,0.0219752795918427,-0.146159057347417,0.00464378863835358
"V122",-0.117465154029863,0.0218402106274814,-0.157115210503016,0.0046152460334928
"V123",-0.128421118367264,0.0236289100380817,-0.170694960630943,0.00499323175902863
"V124",-0.138960147478189,0.024129036501292,-0.175848287641244,0.00509891785862475
"V125",-0.150977537304926,0.0241397646809729,-0.194740106192517,0.00510118492415645
"V126",-0.167187843238919,0.0276911211459879,-0.214434776030851,0.00585165313704336
"V127",-0.187818763242411,0.0297016037502969,-0.23801208326352,0.006276505810088
"V128",-0.223630241639657,0.0396505471981494,-0.296199595502622,0.00837890411422195
