"","x"
"1",53.867499260996
"2",8.47685892718952
"3",5.36518701837023
"4",3.18583495650151
"5",2.85303296700757
"6",2.51624050113294
"7",2.43281097635977
"8",2.32060215979358
"9",2.26449412833831
"10",2.12657532534374
"11",2.02133619962829
"12",1.92011665860514
"13",1.83693749959908
"14",1.74891049870931
"15",1.73471848526541
"16",1.57599449374241
"17",1.52921596565814
"18",1.45068049075125
"19",1.39132070355885
"20",1.35078455874919
"21",1.27644881760393
"22",1.22038154930451
"23",1.08550682605376
"24",1.06159293864351
"25",1.04240137879049
"26",1.00192705517708
"27",0.932453110687649
"28",0.898301276050212
"29",0.893268095445704
"30",0.858423484019813
"31",0.803781734651019
"32",0.773009871050514
"33",0.757086711414089
"34",0.746887405202989
"35",0.679817837294781
"36",0.660915119805315
"37",0.642240097752177
"38",0.619864953603385
"39",0.608669913818764
"40",0.545861719240706
"41",0.50174378527341
"42",0.488442196647417
"43",0.456936692644832
"44",0.451176913094124
"45",0.443449522209732
"46",0.432990979130941
"47",0.402661806689754
"48",0.392771550633436
"49",0.362336873948249
"50",0.351893957480358
"51",0.341135993949975
"52",0.326639904868621
"53",0.299632898481126
"54",0.287837262533909
"55",0.266628121208166
"56",0.241952101277937
"57",0.232041069721896
"58",0.209185570924699
"59",0.200430065329929
"60",0.191365816084747
"61",0.188133532206267
"62",0.182338206441992
"63",0.165586732575341
"64",0.153941782661892
"65",0.142436912222908
"66",0.134467432750297
"67",0.133390116549832
"68",0.122561955738705
"69",0.117324572869202
"70",0.103286149161823
"71",0.0960390482852377
"72",0.0884476026051408
"73",0.0837815055921008
"74",0.0746579345283034
"75",0.0643078850913989
"76",0.0592203572032705
"77",0.0539788338679486
"78",0.0479793112225307
"79",0.0446630103314206
"80",0.0306867733948608
"81",0.0302939544976819
"82",0.0242630413840681
"83",0.00938566250596945
"84",0.00741301183082651
"85",0.00525053505432085
"86",0.00109899302773186
"87",7.49471228794628e-17
"88",6.93889390390723e-17
"89",6.7646312344931e-17
"90",6.42114101897544e-17
"91",2.57072365129581e-17
"92",2.420489396807e-17
"93",2.41108954512483e-17
"94",-7.80269170297622e-18
"95",-2.08166817117217e-17
"96",-4.07651205546437e-17
"97",-4.61287972763878e-17
"98",-5.10676169927423e-17
"99",-5.50808404630509e-17
"100",-6.88296741572292e-17
"101",-6.99057540828614e-17
"102",-7.49747825223409e-17
"103",-8.47350580015089e-17
"104",-8.63482152731673e-17
"105",-8.88640382779659e-17
"106",-1.0917223847245e-16
"107",-1.12242107915161e-16
"108",-1.23211191904906e-16
"109",-1.34215426524218e-16
"110",-1.79000352326672e-16
"111",-2.15889648926982e-16
"112",-2.33466561838257e-16
"113",-2.37166365101039e-16
"114",-2.97684179115585e-16
"115",-0.000946368596341916
"116",-0.0019813962106144
"117",-0.00249118052713333
"118",-0.00322174314732339
"119",-0.00359184350878486
"120",-0.00469636982741806
"121",-0.00598356765630782
"122",-0.00638688514695769
"123",-0.00700393664267338
"124",-0.00807153367402358
"125",-0.0100378607411584
"126",-0.0124788251740695
"127",-0.0129433346905684
"128",-0.044344761101535
