ID_STAI,multiple,STAI_Q21,STAI_Q22,STAI_Q23,STAI_Q24,STAI_Q25,STAI_Q26,STAI_Q27,STAI_Q28,STAI_Q29,STAI_Q30,STAI_Q31,STAI_Q32,STAI_Q33,STAI_Q34,STAI_Q35,STAI_Q36,STAI_Q37,STAI_Q38,STAI_Q39,STAI_Q40,STAItotal,ID_EPQ,Q52,EPQ_Q1,EPQ_Q2,EPQ_Q3,EPQ_Q4,EPQ_Q5,EPQ_Q6,EPQ_Q7,EPQ_Q8,EPQ_Q9,EPQ_Q10,EPQ_Q11,EPQ_Q12,EPQ_Q13,EPQ_Q14,EPQ_Q15,EPQ_Q16,EPQ_Q17,EPQ_Q18,EPQ_Q19,EPQ_Q20,EPQ_Q21,EPQ_Q22,EPQ_Q23,EPQ_Q24,EPQ_Q25,EPQ_Q26,EPQ_Q27,EPQ_Q28,EPQ_Q29,EPQ_Q30,EPQ_Q31,EPQ_Q32,EPQ_Q33,EPQ_Q34,EPQ_Q35,EPQ_Q36,EPQ_Q37,EPQ_Q38,EPQ_Q39,EPQ_Q40,EPQ_Q41,EPQ_Q42,EPQ_Q43,EPQ_Q44,EPQ_Q45,EPQ_Q46,EPQ_Q47,EPQ_Q48,E,L,ID_PSWQ,Q76,ASI_Q77,ASI_Q78,ASI_Q79,ASI_Q80,ASI_Q81,ASI_Q82,ASI_Q83,ASI_Q84,ASI_Q85,ASI_Q86,ASI_Q87,ASI_Q88,ASI_Q89,ASI_Q90,ASI_Q91,ASI_Q92,Q134,PWSQ_Q135,PWSQ_Q136,PWSQ_Q137,PWSQ_Q138,PWSQ_Q139,PWSQ_Q140,PWSQ_Q141,PWSQ_Q142,PWSQ_Q143,PWSQ_Q144,PWSQ_Q145,PWSQ_Q146,PWSQ_Q147,PWSQ_Q148,PWSQ_Q149,PWSQ_Q150,ID_MASQ,MASQ_Q96,MASQ_Q97,MASQ_Q98,MASQ_Q99,MASQ_Q100,MASQ_Q101,MASQ_Q102,MASQ_Q103,MASQ_Q104,MASQ_Q105,MASQ_Q106,MASQ_Q107,MASQ_Q108,MASQ_Q109,MASQ_Q110,MASQ_Q111,MASQ_Q112,MASQ_Q113,MASQ_Q114,MASQ_Q115,MASQ_Q116,MASQ_Q117,MASQ_Q118,MASQ_Q119,MASQ_Q120,MASQ_Q121,MASQ_Q122,MASQ_Q123,MASQ_Q124,MASQ_Q125,MASQ_Q126,MASQ_Q127,MASQ_Q128,MASQ_Q129,MASQ_Q130,MASQ_Q131,MASQ_Q132,MASQ_Q133,MASQ_Q134,lossInterest,LowPosAffect,ID_BDI,BDI_Q2,BDI_Q37,BDI_Q38,BDI_Q39,BDI_Q40,BDI_Q41,BDI_Q42,BDI_Q43,BDI_Q44,BDI_Q45,BDI_Q46,BDI_Q47,BDI_Q48,BDI_Q49,BDI_Q50,BDI_Q51,BDI_Q52,BDI_Q57,BDI_Q58,BDI_Q59,BDI_Q60,CESD_Q36,CESD_Q63,CESD_Q64,CESD_Q65,CESD_Q66,CESD_Q67,CESD_Q68,CESD_Q70,CESD_Q86,CESD_Q71,CESD_Q72,CESD_Q73,CESD_Q74,CESD_Q75,CESD_Q76,CESD_Q77,CESD_Q78,CESD_Q79,CESD_Q80,CESD_Q81,checkallcoloumns,filter_$,VarSTAI,sdSTAI,sdEPQ,varEPQ,varMASQ,sdMASQ,ASItotal,EPQtotalP,N,BDItotal,PSWQtotal,AnxArousal,AnhedDep,CESDtotal,STAIanx,STAIdep,ASItotalNEW,PCAdep,PCAanx,PCAcombanxapp,PCAdep2,PCAanxarou,FAC1_1,FAC2_1,FAC3_1,PCAdepNEW,PCAanxNEW,FAC1_2,FAC2_2,FAC1_3,FAC1_4,FAC2_4,FAC3_4,FAC1_5,FAC2_5,FAC3_5,FAC1_6,FAC1_7,FAC2_7,FAC3_7,generalfac,anxvdep,VAR00001
565005,0,4,1,4,1,1,2,3,1,2,3,1,2,3,2,1,3,2,1,4,1,31,565005, ,0,0,1,1,0,1,1,1,0, ,1,1,0,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,1,0,1,1,11,3,565005, ,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0, ,5,1,5,1,1,3,1,4,1,4,5,2,3,1,1,2,565005,1,5,1,5,4,1,4,1,1,1,5,1,1,4,1,1,1,1,4,1,1,1,4,1,1,4,1,4,2,1,1,4,1,4,1,4,4,1,2,9,25,565005,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,2,1,1,4,1,1,1,4,2,1,1,4,1,1,1,2,1,1,1.24761904761905,1.11696868694653,0.504374939460682,0.254394079555967,2.43049932523617,1.55900587722951, ,1,0,21,30,18,34,15,9,22,6,-1.05693161538557,-1.57236898015354,-1.78024453686802,-0.0740758715586993,-1.13065781437296,-0.485523295093191,-1.9035337582874,-0.574507795523845,-1.00738469286424,-1.57313753856413,-1.13195031433614,-1.43350288773058,-1.52737230180329, , , ,-1.86463133991314,-0.268353402948877,-0.786474738588141,-1.56536259475963,-1.8216118850767,-0.516269574850659,-0.280692600670079,-1.73984893580724,-0.680481478241564,565005
592788,0,3,2,3,3,1,2,4,1,2,3,2,2,4,3,1,3,2,1,3,3,37,592788, ,1,0,1,0,0,1,0,1,1, ,0,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,5,2,592788, ,3,1,1,1,3,2,4,3,0,0,0,2,2,2,0,2, ,2,2,4,2,2,2,1,4,2,3,4,1,1,3,1,2,592788,1,5,1,5,5,1,5,1,4,1,5,1,2,4,1,2,1,2,4,1,3,1,4,1,1,5,1,4,2,1,3,5,1,5,1,4,5,1,2,15,19,592788,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,2,3,1,1,1,1,2,1,1,2,1,3,1,2,2,4,1,1,2,1,1,1,0.933333333333333,0.966091783079296,0.496052875341062,0.246068455134135,2.87449392712551,1.69543325646441, ,2,7,24,38,22,34,27,13,24,26,-0.862706133220197,0.410909309456678,-0.983540424678566,-0.0482465064778672,0.705102600153369,-0.689018766197363,-0.448772456807427,0.768586945337975,-0.824151625133477,0.410629697014548,-0.860570384375152,0.514424487492812,-0.264436653540929, , , ,-0.655343895010243,-0.411371544751591,0.73627044589086,-0.38829276381647,-0.599272328199728,-0.51251475507127,0.410110381219158,-0.485322182883258,0.761679849948336,592788
621989,0,3, ,2,2,2,3, ,2,2,2,1,3,2,2,1,3,2,1,3, ,41,621989, ,1,1,1,1,1,1,1,1,0, ,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,7,7,621989, ,1,1,2,3,4,1,0,1,0,2,0,1,0,2,0,0, ,4,3,4,3,3,3,3,3,3,2,3,3,3,3,3,3,621989,3,2,2,3,3,4,3,1,4,2,3,4,3,3,1,1,1,1,3,1,3,1,3,3,2,3,1,3,3,1,1,2,1,1,1,1,3,1,3,17,48,621989,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.526143790849673,0.725357698552702,0.50253750187977,0.25254394079556,1.09851551956815,1.04810091096619, ,2,4,21,53,32,65,24,8,33,18,0.00781523537616417,-0.329695654134215,-0.661798441956858,0.631310155736179,-0.164690496670628,0.337979973988002,-0.912693416313327,0.376253317701605,-0.0182616330633362,-0.284061503399095,-0.0775864505840636,-0.206317734240248,-0.335623962487273, , , ,-0.761792498026681,0.522859087775048,0.0104372272601338,-0.306730666217735,-0.879971113113581,0.515534717644374,0.206608234016202,-0.21219150863307,-0.154811390476754,621989
635829,0,2,2,2,2,1,2,2,2,2,2,1,2,3,2,2,3,1,2,3,2,43,635829, ,0,1,0,1,0,1,0,1,0, ,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,0,0,0,1,0,2,2,635829, ,3,0,1,2,4,1,3,2,0,1,0,1,1,1,0,1, ,2,2,2,3,4,4,3,2,3,1,3,2,3,2,2,5,635829,1,4,1,4,4,2,3,1,1,1,4,1,1,3,1,1,1,2,3,2,2,1,4,1,2,4,1,4,1,1,2,4,1,4,1,2,4,1,1,9,33,635829,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,4,1,1,1,1,1,1,0.347619047619048,0.589592272353571,0.499768679145611,0.249768732654949,1.62078272604588,1.27309965283393,21,1,1,21,59,22,42,12,12,31,21,-0.844246007864153,-0.0371244701780697,-0.20828617264909,-1.00609026482106,0.0341783233912404,-1.1031523957819,0.14074146098567,-0.366253783597675,-0.812987999865454,-0.0390328139764079,-0.783068726505565,-0.0656505246970178,-0.899802110196507,-0.25748198115392,-0.822987659581087,0.0697428015113896,-0.0855236335010387,-0.999310306702962,-0.0978456803504466,-0.805210567108459,-0.104893924927872,-0.777554016327534,-0.541724532959348,-0.717093518901143,0.395885818902939,635829
756393,0,3,2,3,3,2,2,3,2,2,3,2,2,3,1,2,3,3,1,3,1,43,756393, ,1,1,1,1,1,1,1,1,1, ,0,0,1,1,1,0,1,1,0,1,1,0,1,1,0,1,0,1,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,0,1,1,1,10,3,756393, ,3,1,3,2,4,4,0,0,0,3,0,0,2,3,0,1, ,5,2,3,2,3,4,2,2,2,1,5,2,4,2,1,4,756393,2,4,5,4,4,4,2,2,1,3,3,2,1,4,4,4,3,2,3,4,1,2,4,4,4,5,2,4,1,1,4,4,3,3,1,3,4,1,4,10,33,756393,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,4,1,2,3,3,1,2,1,4,1,1,1,4,1,1,1,1,1,1,0.59047619047619,0.768424485864545,0.471186429398008,0.222016651248844,1.55195681511471,1.24577558778245, ,2,9,24,48,55,43,18,13,30,26,-1.21515670887029,2.42297418642718,-1.54614738935912,0.67840975931681,2.94447274764582,-0.597049291228814,-0.641772015346223,3.45920829188833,-1.19319955477649,2.43391727740494,-1.2204979052095,2.64495966837262,-0.0576572071567494, , , ,-0.78076664665885,-0.101102730826283,2.70315453053968,-0.159760452809589,0.21766742759581,-1.58676854489336,2.77240346356017,0.256507431712243,2.56292944175539,756393
764897,0,3,2,2,2,2,2,3,2,2,2,2,3,2,1,1,3,2,2,2,2,47,764897, ,1,1,1,1,0,1,1,1,0, ,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,0,0,1,1,1,1,0,7,4,764897, ,3,0,3,4,4,2,3,3,1,2,2,2,2,2,0,0, ,3,2,2,3,3,4,4,3,2,1,4,3,4,2,3,4,764897,2,4,1,4,3,1,3,1,2,1,4,1,2,3,1,1,1,1,3,1,1,1,4,1,2,3,1,2,2,2,1,4,1,3,1,2,2,2,2,13,40,764897,1,1,2,1,1,1,2,2,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,2,4,1,1,1,4,1,1,1,4,1,1,2,1,1,1,0.347619047619048,0.589592272353571,0.491368607293056,0.241443108233118,1.13090418353576,1.06343978839225,33,1,5,29,57,20,53,17,14,33,33,-0.24444168907843,0.471919299389337,0.329198890960048,-0.566853041091291,0.405404119010506,-0.595640211843173,0.694025224902044,-0.06752176411682,-0.225264653339125,0.470485720613541,-0.18333550175278,0.429722874655872,-0.175658651559833,0.331557970843209,-0.298506159591243,0.27241336318098,0.461780499428335,-0.547221160129974,0.262636000191369,-0.0929048557724684,0.102471323979905,0.112450406089841,-0.568574519273196,0.063494846296405,0.499204526305546,764897
818448,0,3,2,3,2,1,2,2,2,2,3,1,2,3,2,2,3,2,3,3,3,43,818448, ,1,1,1,0,1,1,1,1,1, ,1,1,1,0,1,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,11,0,818448, ,2,1,2,3,2,3,3,1,1,3,1,1,1,2,0,1, ,2,3,2,3,2,3,2,2,3,1,2,2,4,3,2,3,818448,2,4,2,3,4,1,3,1,2,2,4,2,2,3,1,1,2,2,4,2,2,1,4,2,2,4,1,3,2,1,1,4,2,4,1,3,3,1,2,13,34,818448,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,1,1,2,3,1,1,2,3,1,2,1,3,1,1,2,2,1,1,0.490476190476191,0.700340053457026,0.491368607293056,0.241443108233118,1.16599190283401,1.07981104959803,27,1,5,21,57,27,47,22,15,28,27,-0.705920646602877,0.897980915756338,-0.215377800623229,-0.508664557281013,1.00094321343487,-0.887559132819967,0.338044316033542,0.707291024915719,-0.679756408477035,0.895461970533968,-0.642958720027082,0.905481358706331,-0.145989044891645,-0.104822110773842,-0.343976538874354,0.856871100481857,0.111964999758856,-0.689760994334277,0.798853832330839,-0.175529389070721,0.261467472986173,-0.743805682608106,0.296113562338355,-0.0960482963305614,1.0417067655152,818448
827314,0,2,3,2,3,1,4,4,2,2,2,4,1,3,3,2,2,3,3,3, ,44,827314, ,1,1,0,0,1,0,1,1,1, ,1,1,0,1,0,0,1,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,1,1,5,2,827314, ,3,1,4,4,3,4,0,4,1,4,4,2,2,4,1,1, ,4,4,3,2,1,3,4,2,3,1,3,2,3,2,1,1,827314,1,3,1,3,2,1,3,1,1,1,4,2,2,2,1,4,2,4,3,1,2,3,4,2,2,1,1,1,2,2,1,4,1,4,3,1,4,3,4,17,45,827314,3,1,1,1,1,4,1,2,2,1,2,1,1,1,1,2,4,1,1,2,4,1,4,3,4,3,2,2,4,1,3,4,3,1,1,1,3,1,3,2,4,1,1,0.894736842105263,0.945905302926917,0.505291152639911,0.25531914893617,1.34008097165992,1.15761866418088,42,5,8,37,49,31,62,34,17,27,42,-0.0172292833557531,1.72432526061733,-0.605310074200924,1.16932426725726,1.94626091320952,0.379998936728862,-0.056091169020949,2.26913153661039,0.00642181487535205,1.71386512172098,-0.0413457668357244,1.87228740195706,0.737543305469375,-0.263047953107889,1.27104528440188,1.67507076998949,-0.196639519803604,0.683819498140176,1.98839712544855,0.624677045924969,-0.31174276767025,0.624436262132674,1.44487970857906,0.919840778482413,1.39224687081795,827314
850105,0,2,2,3,1,2,1,2,2,3,2,1,1,4,3,1,1,1,2,3,2,42,850105, ,1,0,0,0,0,1,1,1,0, ,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,7,5,850105, ,2,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0, ,3,3,3,3,3,3,1,4,3,1,3,1,1,1,1,3,850105,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,68,850105,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1, ,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0.790476190476191,0.889087279447969,0.478975162498508,0.229417206290472,0.0499325236167341,0.223455865030959,7,3,1,21,45,17,76,23,13,29,7, , , , , , , , , , , , , ,-0.161678792457081,0.643430030413008,-1.71323725481544,-0.710985925488372,0.765571386295128,-1.65211041923568,-0.380672447657694,-1.13630407437713,1.16134052335901,-1.03027022740396,-0.563196706738991,-1.83701844171714,850105
850105,0,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,49,850105, ,0,0,0,0,0,0,0,0,0, ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,850105, ,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,0,1,0.0476190476190477,0.218217890235992,0,0, , , ,7,0, ,54, , , ,14,35,32, , , , , , , , , , , , , , , , , , , , , , , , , ,850105
